District,Name of Municipalities,Numbers of Wards
Salyan,Bagchaur,12
Salyan,Bangad Kupinde,12
Sankhuwasabha,Khandbari,11
Sankhuwasabha,Chainpur,11
Sankhuwasabha,Panchkhapan,9
Sankhuwasabha,Dharmadevi,9
Sankhuwasabha,Madi,9
Saptari,Rajbiraj,16
Saptari,Kanchanrup,12
Saptari,Hanumannagar Kankalini,14
Saptari,Khadak,11
Saptari,Surunga,11
Saptari,Dakneshwari,10
Saptari,Bodebarsain,10
Saptari,Shambhunath,12
Saptari,Saptakoshi,11
Sarlahi,Barahathawa,18
Sarlahi,Ishwarpur,15
Sarlahi,Lalbandi,17
Sarlahi,Malangwa,12
Sarlahi,Godaita,12
Sarlahi,Hariwan,11
Sarlahi,Balara,11
Sarlahi,Bagmati,12
Sarlahi,Kabilasi,10
Sarlahi,Haripur,9
Sarlahi,Haripurwa,9
Sindhuli,Kamalamai,14
Sindhuli,Dudhauli,14
Sindhupalchok,Chautara Sangachokgadhi,14
Sindhupalchok,Melamchi,13
Sindhupalchok,Barhabise,9
Siraha,Lahan,24
Siraha,Siraha,22
Siraha,Golbazar,13
Siraha,Mirchaiya,12
Siraha,Kalyanpur,12
Siraha,Dhangadimai,14
Siraha,Sukhipur,10
Siraha,Karjanha,11
Solukhumbu,Solu Dudhkunda,11
Sunsari,Barahachhetra,11
Sunsari,Inaruwa,10
Sunsari,Duhabi,12
Sunsari,Ramdhuni,9
Surkhet,Birendranagar,16
Surkhet,Gurbhakot,14
Surkhet,Bheriganga,13
Surkhet,Panchapuri,11
Surkhet,Lekbeshi,10
Syangja,Waling,14
Syangja,Putalibazar,14
Syangja,Galyang,11
Syangja,Chapakot,10
Syangja,Bhirkot,9
Tanahun,Vyas,14
Tanahun,Shuklagandaki,12
Tanahun,Bhanu,13
Tanahun,Bhimad,9
Taplejung,Phungling,11
Terathum,Myanglung,10
Terathum,Laligurans,9
Udayapur,Triyuga,16
Udayapur,Katari,14
Udayapur,Chaudandigadhi,10
Udayapur,Belaka,9
Western Rukum,Musikot,14
Western Rukum,Chaurjahari,14
